"Starting.Month","Name","Type","Sum.of.24.Annual.Avg.Hours"
"3/1/2015 0:00","27th Street","FR","12,627.00"
"3/1/2015 0:00","27th Street","OR","5,366.00"
"3/1/2015 0:00","27th Street","HV","2,396.00"
"4/1/2015 0:00","27th Street","ML","42,224.00"
"4/1/2015 0:00","27th Street","FR","12,627.00"
"4/1/2015 0:00","27th Street","OR","5,417.00"
"4/1/2015 0:00","27th Street","HV","2,432.00"
"5/1/2015 0:00","27th Street","FR","12,627.00"
"5/1/2015 0:00","27th Street","OR","5,468.00"
"5/1/2015 0:00","27th Street","ML","42,534.00"
"5/1/2015 0:00","27th Street","HV","2,456.00"
"6/1/2015 0:00","27th Street","HV","2,496.00"
"6/1/2015 0:00","27th Street","OR","5,538.00"
"6/1/2015 0:00","27th Street","FR","12,627.00"
"6/1/2015 0:00","27th Street","ML","43,014.00"
"7/1/2015 0:00","27th Street","FR","12,627.00"
"7/1/2015 0:00","27th Street","ML","43,424.00"
"7/1/2015 0:00","27th Street","HV","2,530.00"
"7/1/2015 0:00","27th Street","OR","5,596.00"
"8/1/2015 0:00","27th Street","HV","2,571.00"
"8/1/2015 0:00","27th Street","ML","43,791.00"
"8/1/2015 0:00","27th Street","OR","5,645.00"
"8/1/2015 0:00","27th Street","FR","12,627.00"
"9/1/2015 0:00","27th Street","HV","2,595.00"
"9/1/2015 0:00","27th Street","ML","44,132.00"
"9/1/2015 0:00","27th Street","FR","12,627.00"
"9/1/2015 0:00","27th Street","OR","5,709.00"
"10/1/2015 0:00","27th Street","FR","11,413.00"
"10/1/2015 0:00","27th Street","OR","5,713.00"
"10/1/2015 0:00","27th Street","HV","2,623.00"
"10/1/2015 0:00","27th Street","ML","44,513.00"
"11/1/2015 0:00","27th Street","ML","44,761.00"
"11/1/2015 0:00","27th Street","HV","2,654.00"
"11/1/2015 0:00","27th Street","OR","5,731.00"
"12/1/2015 0:00","27th Street","OR","5,797.00"
"12/1/2015 0:00","27th Street","ML","45,121.00"
"12/1/2015 0:00","27th Street","HV","2,692.00"
"1/1/2016 0:00","27th Street","HV","2,726.00"
"1/1/2016 0:00","27th Street","ML","45,377.00"
"1/1/2016 0:00","27th Street","OR","5,843.00"
"2/1/2016 0:00","27th Street","HV","2,747.00"
"2/1/2016 0:00","27th Street","ML","45,706.00"
"2/1/2016 0:00","27th Street","OR","5,904.00"
"3/1/2016 0:00","27th Street","ML","45,854.00"
"3/1/2016 0:00","27th Street","HV","2,764.00"
"3/1/2016 0:00","27th Street","OR","5,943.00"
"4/1/2016 0:00","27th Street","HV","2,803.00"
"4/1/2016 0:00","27th Street","ML","46,147.00"
"4/1/2016 0:00","27th Street","OR","6,001.00"
"5/1/2016 0:00","27th Street","HV","2,871.00"
"5/1/2016 0:00","27th Street","ML","46,440.00"
"5/1/2016 0:00","27th Street","OR","6,061.00"
"6/1/2016 0:00","27th Street","HV","2,928.00"
"6/1/2016 0:00","27th Street","ML","46,781.00"
"6/1/2016 0:00","27th Street","OR","6,136.00"
"7/1/2016 0:00","27th Street","OR","6,195.00"
"7/1/2016 0:00","27th Street","ML","47,028.00"
"7/1/2016 0:00","27th Street","HV","2,979.00"
"8/1/2016 0:00","27th Street","HV","3,017.00"
"8/1/2016 0:00","27th Street","ML","47,184.00"
"8/1/2016 0:00","27th Street","OR","6,257.00"
"9/1/2016 0:00","27th Street","HV","3,083.00"
"9/1/2016 0:00","27th Street","ML","47,596.00"
"9/1/2016 0:00","27th Street","OR","6,311.00"
"10/1/2016 0:00","27th Street","ML","47,723.00"
"10/1/2016 0:00","27th Street","HV","3,120.00"
"10/1/2016 0:00","27th Street","OR","6,354.00"
"11/1/2016 0:00","27th Street","HV","3,154.00"
"11/1/2016 0:00","27th Street","ML","47,917.00"
"11/1/2016 0:00","27th Street","OR","6,409.00"
"12/1/2016 0:00","27th Street","HV","3,187.00"
"12/1/2016 0:00","27th Street","ML","48,068.00"
"12/1/2016 0:00","27th Street","OR","6,455.00"
"1/1/2017 0:00","27th Street","HV","3,206.00"
"1/1/2017 0:00","27th Street","ML","48,036.00"
"1/1/2017 0:00","27th Street","OR","6,472.00"
"2/1/2017 0:00","27th Street","OR","6,538.00"
"2/1/2017 0:00","27th Street","ML","48,215.00"
"2/1/2017 0:00","27th Street","HV","3,242.00"
"3/1/2017 0:00","27th Street","HV","3,286.00"
"3/1/2017 0:00","27th Street","ML","48,453.00"
"3/1/2017 0:00","27th Street","OR","6,586.00"
"4/1/2017 0:00","27th Street","OR","6,613.00"
"4/1/2017 0:00","27th Street","ML","48,518.00"
